Canal Winchester;39,8432;-82,8121
Canandaigua;42,8607;-77,3183
Canby;45,2653;-122,6866
Candelaria;18,4043;-66,2175
Candler-McAfee;33,7267;-84,2723
Candor;42,2318;-76,3329
Canfield;41,0315;-80,7672
Canon City;38,443;-105,2203
Canonsburg;40,2643;-80,1868
Canovanas;18,3782;-65,9056
Canterbury;41,6979;-71,9998
Canton;40,8075;-81,3677
Canton Township;40,1991;-80,3009
Canutillo;31,9185;-106,6006
Canyon;34,9877;-101,9178
Canyon Lake;29,8761;-98,2611
Cape Canaveral;28,3933;-80,605
Cape Coral;26,6446;-81,9956
Cape Elizabeth;43,5891;-70,238
Cape Girardeau;37,3108;-89,5597
Cape St, Claire;39,0433;-76,4471
Capitola;36,9772;-121,9538
Carbondale;37,7221;-89,2238
Carencro;30,3126;-92,0387
Caribou;46,8662;-67,9919
Carl Junction;37,1668;-94,5468
Carlinville;39,2774;-89,8761
Carlisle;40,1999;-77,2042
Carlsbad;33,1247;-117,2837
Carlstadt;40,8247;-74,0613
Carmel;39,965;-86,146
Carmel Hamlet;41,415;-73,6855
Carmi;38,0863;-88,1718
Carmichael;38,6337;-121,323
Carnegie;40,408;-80,0861
Carney;39,405;-76,5236
Carneys Point;39,6967;-75,4475
Carnot-Moon;40,5187;-80,2178
Carol Stream;41,9182;-88,1308
Carolina;18,4054;-65,9792
Carolina Beach;34,0396;-77,8966
Carpentersville;42,1227;-88,2895
Carpinteria;34,3962;-119,5118
Carrboro;35,926;-79,0878
Carrizo Springs;28,5266;-99,8589
Carroll;42,0699;-94,8647
Carroll Township;40,1142;-77,0191
Carrollton;32,989;-96,8999
Carrollwood;28,0577;-82,5149
Carson;33,8374;-118,2559
Carson City;39,1512;-119,7474
Carteret;40,5848;-74,2284
Cartersville;34,1639;-84,8007
Carterville;37,763;-89,0841
Carthage;37,1503;-94,3225
Caruthersville;36,1814;-89,6664
Carver;41,8739;-70,7563
Cary;35,782;-78,8191
Casa de Oro-Mount Helix;32,764;-116,9687
Casa Grande;32,9068;-111,7624
Casas Adobes;32,3423;-111,0114
Cascades;39,0464;-77,3874
Casper;42,842;-106,3207
Casselberry;28,6625;-81,3218
Castaic;34,4818;-118,6317
Castle Pines;39,4625;-104,8706
Castle Rock;39,3763;-104,8535
Castle Shannon;40,3664;-80,0194
Castro Valley;37,7091;-122,0631
Castroville;36,765;-121,7535
Catalina;32,4848;-110,8998
Catalina Foothills;32,3041;-110,8835
Catano;18,4415;-66,1388
Catasauqua;40,6531;-75,4643
Cathedral City;33,8363;-116,4642
Catonsville;39,2646;-76,7424
Catoosa;36,1832;-95,7662
Catskill;42,2063;-73,9435
Cavalero;47,9846;-122,0743
Cave Creek;33,8513;-111,9801
Cave Spring;37,2254;-80,0073
Cave Springs;36,2701;-94,2225
Cayce;33,9458;-81,0433
Cayey;18,115;-66,163
Cazenovia;42,9122;-75,8636
Cecil;40,3147;-80,1943
Cedar City;37,6834;-113,0956
Cedar Falls;42,5195;-92,4534
Cedar Grove;40,8565;-74,2287
Cedar Hill;32,581;-96,9591
Cedar Hills;40,4135;-111,753
Cedar Lake;41,3697;-87,4383
Cedar Mill;45,5355;-122,8006
Cedar Park;30,5106;-97,8196
Cedar Rapids;41,9665;-91,6782
Cedarburg;43,2991;-87,9887
Cedarhurst;40,6252;-73,7278
Cedartown;34,0223;-85,2479
Ceiba;18,265;-65,6488
Celebration;28,3102;-81,551
Celina;33,3188;-96,7865
Centennial;39,5926;-104,8674
Center;31,793;-94,1796
Center Line;42,4805;-83,0274
Center Moriches;40,8015;-72,796
Center Point;33,6446;-86,6851
Center Township;40,6483;-80,2977
Centereach;40,8696;-73,0808
Centerport;40,8943;-73,3714
Centerton;36,3567;-94,2971
Centerville;39,6339;-84,1449
Central;30,5593;-91,0369
Central City;37,2962;-87,128
Central Falls;41,89;-71,3934
Central Islip;40,7837;-73,1945
Central Point;42,3765;-122,911
Centralia;46,7226;-122,9696
Centreville;38,8391;-77,4388
Ceres;37,5953;-120,9625
Cerritos;33,8677;-118,0686
Chackbay;29,8817;-90,7742
